rank,tier,gutenberg,title,author,year,form,text_source,downloads_30d,sitelinks,wikipedia,genre,status,slug
217,B,5231,The Way We Live Now,Anthony Trollope,1875,novel,gutenberg,,,,,,
218,B,468,Manon Lescaut,Antoine François Prévost,1731,novel,gutenberg,49485,33,yes,memoir novel;romantic fiction;memoir,new,g468
219,B,2350,His Last Bow,Arthur Conan Doyle,1917,short story collection,gutenberg,47063,36,yes,detective fiction,have,g2350
220,B,69700,The Case-Book of Sherlock Holmes,Arthur Conan Doyle,1927,short story collection,gutenberg,48143,32,yes,detective fiction;crime fiction,new,g69700
221,B,126,The Poison Belt,Arthur Conan Doyle,1913,novel,gutenberg,,,,,,
222,B,3289,The Valley of Fear,Arthur Conan Doyle,1915,novel,gutenberg,47643,39,yes,detective fiction;crime fiction,have,g3289
223,B,903,The White Company,Arthur Conan Doyle,1891,novel,gutenberg,,,,,,
224,B,389,The Great God Pan,Arthur Machen,1894,novella,gutenberg,,,,,,
225,B,,Swallows and Amazons,Arthur Ransome,1930,novel,us_pd,,,,,,
226,B,3781,The Jewel of Seven Stars,Bram Stoker,1903,novel,gutenberg,1113,14,yes,horror fiction,new,g3781
227,B,1188,The Lair of the White Worm,Bram Stoker,1911,novel,gutenberg,1060,8,yes,fantasy;horror fiction,have,g1188
228,B,20657,Tales from Shakespeare,Charles and Mary Lamb,1807,short story collection,gutenberg,,,,,,
229,B,786,Hard Times,Charles Dickens,1854,novel,gutenberg,7132,28,yes,serialized fiction;social fiction,new,g786
230,B,963,Little Dorrit,Charles Dickens,1857,novel,gutenberg,3516,28,yes,,new,g963
231,B,883,Our Mutual Friend,Charles Dickens,1864,novel,gutenberg,4745,23,yes,serialized fiction;mystery fiction,new,g883
232,B,564,The Mystery of Edwin Drood,Charles Dickens,1870,novel,gutenberg,61536,,no,,have,g564
233,B,700,The Old Curiosity Shop,Charles Dickens,1840,novel,gutenberg,3496,25,yes,social criticism,new,g700
234,B,1018,The Water-Babies,Charles Kingsley,1863,novel,gutenberg,1005,16,yes,fantasy;children's fiction,new,g1018
235,B,9182,Villette,Charlotte Brontë,1853,novel,gutenberg,3459,21,yes,Bildungsroman;Victorian literature,new,g9182
236,B,32,Herland,Charlotte Perkins Gilman,1915,novel,gutenberg,3135,12,yes,science fiction;serialized fiction;feminist science fiction;utopian fiction,new,g32
237,B,217,Sons and Lovers,D. H. Lawrence,1913,novel,gutenberg,2769,29,yes,autobiographical novel,new,g217
238,B,28948,The Rainbow,D. H. Lawrence,1915,novel,gutenberg,,,,,,
239,B,4240,Women in Love,D. H. Lawrence,1920,novel,gutenberg,,,,,,
240,B,370,Moll Flanders,Daniel Defoe,1722,novel,gutenberg,1613,28,yes,picaresque novel,new,g370
241,B,41085,La Vita Nuova,Dante Alighieri,1295,poem,gutenberg,,,,,,
242,B,2604,The Longest Journey,E. M. Forster,1907,novel,gutenberg,,,,,,
243,B,2948,Where Angels Fear to Tread,E. M. Forster,1905,novel,gutenberg,,,,,,
244,B,778,Five Children and It,E. Nesbit,1902,novel,gutenberg,960,15,yes,fantasy;children's fiction,new,g778
245,B,836,The Phoenix and the Carpet,E. Nesbit,1904,novel,gutenberg,,,,,,
246,B,2147,The Mystery of Marie Rogêt,Edgar Allan Poe,1842,short story,gutenberg,54438,29,yes,crime fiction,new,g2147
247,B,2149,The Narrative of Arthur Gordon Pym,Edgar Allan Poe,1838,novel,gutenberg,2064,29,yes,lost world fiction;nautical fiction;Gothic fiction,new,g2149
248,B,62,A Princess of Mars,Edgar Rice Burroughs,1912,novel,gutenberg,11471,,no,,have,g62
249,B,64,The Gods of Mars,Edgar Rice Burroughs,1913,novel,gutenberg,,,,,,
250,B,81,The Return of Tarzan,Edgar Rice Burroughs,1913,novel,gutenberg,,,,,,
251,B,11052,The Custom of the Country,Edith Wharton,1913,novel,gutenberg,,,,,,
252,B,28961,Heart,Edmondo de Amicis,1886,novel,gutenberg,1750,32,yes,children's fiction,new,g28961
253,B,624,Looking Backward,Edward Bellamy,1888,novel,gutenberg,2594,20,yes,political fiction;futuristic fiction;utopian literature,new,g624
254,B,2153,Mary Barton,Elizabeth Gaskell,1848,novel,gutenberg,,,,,,
255,B,2360,The Riddle of the Sands,Erskine Childers,1903,novel,gutenberg,,,,,,
256,B,3431,The Gadfly,Ethel Lilian Voynich,1897,novel,gutenberg,1023,26,yes,romantic fiction,new,g3431
257,B,,Vile Bodies,Evelyn Waugh,1930,novel,us_pd,,,,,,
