rank,gutenberg,title,author,downloads_30d,pick_score,locc,shelves,pg_issued,language,source,coffees,slug
108,2488,Twenty Thousand Leagues Under the Seas: An Underwater Tour of the World,Jules Verne,10106,11,PQ,Science Fiction; Movie Books; Category: Science-Fiction & Fantasy; Category: Adventure; Category: Classics of Literature; Category: French Literature,2001-01-01,en,auto-scored,1,g2488
109,421,Kidnapped,Robert Louis Stevenson,9755,11,PR,Children's Literature; Adventure; Historical Fiction; Best Books Ever Listings; Movie Books; Category: Historical Novels; Category: Adventure; Category: Novels; Category: British Literature,2006-01-16,en,auto-scored,1,g421
110,1268,The Mysterious Island,Jules Verne,9741,11,PQ,Science Fiction; Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels; Category: French Literature,1998-04-01,en,auto-scored,1,g1268
111,940,The Last of the Mohicans; A narrative of 1757,James Fenimore Cooper,9647,11,PS,Historical Fiction; Category: Historical Novels; Category: Adventure; Category: American Literature,2006-02-05,en,auto-scored,1,g940
112,139,The Lost World,Arthur Conan Doyle,9539,11,PR,Science Fiction; Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels; Category: British Literature,1994-06-01,en,auto-scored,1,g139
113,289,The Wind in the Willows,Kenneth Grahame,9111,9,PR; PZ,Children's Literature; Best Books Ever Listings; Category: Children & Young Adult Reading; Category: Novels; Category: British Literature,1995-07-01,en,hand-picked,2,b39
114,140,The Jungle,Upton Sinclair,8892,15,PS,"Contemporary Reviews; Bestsellers, American, 1895-1923; Banned Books from Anne Haight's list; Banned Books List from the American Library Association; Category: Novels; Category: American Literature",2006-03-11,en,auto-scored,1,g140
115,1524,Hamlet,William Shakespeare,8382,9,PR,Plays; Best Books Ever Listings; Category: Plays/Films/Dramas; Category: Classics of Literature; Category: British Literature,1998-11-01,en,hand-picked,1,b44
116,64,The gods of Mars,Edgar Rice Burroughs,7938,11,PS,Science Fiction; Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels; Category: American Literature,1993-05-01,en,auto-scored,1,g64
117,1533,Macbeth,William Shakespeare,7903,9,PR,Opera; Category: Plays/Films/Dramas; Category: Classics of Literature; Category: British Literature,1998-11-01,en,hand-picked,1,b46
118,68,The warlord of Mars,Edgar Rice Burroughs,7441,11,PS,Science Fiction; Category: Science-Fiction & Fantasy; Category: Adventure,1993-06-01,en,auto-scored,1,g68
119,1153,The Chessmen of Mars,Edgar Rice Burroughs,6917,11,PS,Science Fiction; Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels; Category: American Literature,1998-01-01,en,auto-scored,1,g1153
120,551,The Land That Time Forgot,Edgar Rice Burroughs,6693,11,PS,Science Fiction; Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels; Category: American Literature,1996-06-01,en,auto-scored,1,g551
121,3748,A Journey into the Interior of the Earth,Jules Verne,6422,11,PQ,Science Fiction; Best Books Ever Listings; Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels; Category: French Literature,2003-02-01,en,auto-scored,1,g3748
122,149,The Lost Continent,Edgar Rice Burroughs,6308,11,PS,Science Fiction; Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels; Category: American Literature,1994-07-01,en,auto-scored,1,g149
123,1353,Off on a Comet! a Journey through Planetary Space,Jules Verne,5864,11,PQ,Science Fiction; Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels,1998-06-01,en,auto-scored,1,g1353
124,553,Out of Time's Abyss,Edgar Rice Burroughs,5736,11,PS,Science Fiction; Category: Science-Fiction & Fantasy; Category: Adventure,1996-06-01,en,auto-scored,1,g553
