rank,status,gutenberg,title,author,year,downloads_30d,sitelinks,form,genre,wikipedia,slug
197,have,149,The Lost Continent,Edgar Rice Burroughs,,6308,,,,no,g149
198,new,11231,"Bartleby, the Scrivener",Herman Melville,1853,6200,23,short story,social criticism,yes,g11231
199,new,972,The Devil's Dictionary,Ambrose Bierce,1912,6172,26,,satire,yes,g972
200,new,131,The Pilgrim's Progress,John Bunyan,1678,6126,46,,allegory,yes,g131
201,have,1353,Off on a Comet! a Journey through Planetary Space,Jules Verne,,5864,,,,no,g1353
202,new,8117,Demons (Dostoevsky novel),Fyodor Dostoyevsky,1871,5822,53,novel,political fiction;psychological fiction,yes,g8117
203,have,553,Out of Time's Abyss,Edgar Rice Burroughs,,5736,,,,no,g553
204,have,6087,The Vampyre; a Tale,John William Polidori,,5666,,,,no,g6087
205,new,60976,Rip Van Winkle,Washington Irving,1818,5521,35,short story,time-travel fiction,yes,g60976
206,new,375,An Occurrence at Owl Creek Bridge,Ambrose Bierce,1890,5510,14,short story,horror fiction,yes,g375
207,have,541,The Age of Innocence,Edith Wharton,,5356,,,,no,g541
208,new,2944,Essays: First Series,Ralph Waldo Emerson,1841,5350,2,,,yes,g2944
209,new,82,Ivanhoe,Walter Scott,1819,5342,51,novel,historical fiction,yes,g82
210,new,47,Anne of Avonlea,Lucy Maud Montgomery,1909,5269,28,novel,children's fiction,yes,g47
211,new,51,Anne of the Island,Lucy Maud Montgomery,1915,5116,25,,children's fiction,yes,g51
212,new,22452,Howards End,E. M. Forster,1910,5073,19,novel,family drama,yes,g22452
213,have,60,The Scarlet Pimpernel,Baroness Emmuska Orczy Orczy,1905,5053,31,novel,cloak and dagger novel,yes,g60
214,new,3178,The Gilded Age: A Tale of Today,Charles Dudley Warner & Mark Twain,1873,5038,9,novel,,yes,g3178
215,have,1728,The Odyssey of Homer,Homer,,4767,,,,no,g1728
216,new,883,Our Mutual Friend,Charles Dickens,1864,4745,23,novel,serialized fiction;mystery fiction,yes,g883
217,have,503,The Blue Fairy Book,Andrew Lang,,4731,,,,no,g503
218,new,5427,"Emile, or On Education",Jean-Jacques Rousseau,1762,4592,40,narration,fiction;essay;treatise;education novel;philosophical fiction,yes,g5427
219,have,2853,Quo Vadis: A Narrative of the Time of Nero,Henryk Sienkiewicz,1896,4567,45,novel,historical fiction,yes,g2853
220,have,512,Mosses from an old manse,Nathaniel Hawthorne,1835,4530,14,,speculative fiction,yes,g512
221,have,33,The Scarlet Letter,Nathaniel Hawthorne,1850,4480,45,novel,historical fiction;romantic fiction,yes,b25
222,new,4078,The Picture of Dorian Gray,Oscar Wilde,1890,4466,82,novel,Gothic novel,yes,g4078
223,new,64908,What Is Art?,Leo Tolstoy,1897,4334,15,short story,essay,yes,g64908
224,new,201,Flatland,Edwin Abbott Abbott,1884,4122,35,novella,science fiction;mathematical fiction;satirical fiction,yes,g201
225,new,107,Far from the Madding Crowd,Thomas Hardy,1874,4112,25,novel,,yes,g107
226,new,1056,Martin Eden,Jack London,1909,4067,49,novel,Künstlerroman,yes,g1056
227,have,284,The House of Mirth,Edith Wharton,,4060,,,,no,g284
228,new,73144,Lady Chatterley's Lover,D. H. Lawrence,1928,4026,46,novel,erotic literature;erotic romance novel,yes,g73144
229,new,148,The Autobiography of Benjamin Franklin,Benjamin Franklin,1791,3999,12,,memoir,yes,g148
230,have,1450,Pollyanna,Eleanor H. Porter,1913,3895,33,novel,children's fiction,yes,g1450
231,have,15,"Moby-Dick; or, The Whale",Herman Melville,,3872,,,,no,g15
232,new,805,This Side of Paradise,F. Scott Fitzgerald,1920,3638,19,novel,,yes,g805
233,have,5658,Lord Jim,Joseph Conrad,1900,3607,39,novel,psychological fiction,yes,g5658
234,new,3189,Sketches New and Old,Mark Twain,1875,3575,3,short story collection,,yes,g3189
235,have,78,Tarzan of the Apes,Edgar Rice Burroughs,1912,3571,26,novel,fantasy;adventure fiction,yes,g78
236,new,963,Little Dorrit,Charles Dickens,1857,3516,28,novel,,yes,g963
237,new,6157,How Much Land Does a Man Need?,Leo Tolstoy,1886,3512,24,short story,,yes,g6157
238,new,1091,"On Heroes, Hero-Worship, & the Heroic in History",Thomas Carlyle,1841,3501,4,,,yes,g1091
239,new,700,The Old Curiosity Shop,Charles Dickens,1840,3496,25,novel,social criticism,yes,g700
240,have,3350,The Wandering Jew — Complete,Eugène Sue,,3485,,,,no,g3350
241,new,769,The Book of Tea,Okakura Kakuzō,1906,3466,13,,,yes,g769
242,new,9182,Villette (novel),Charlotte Brontë,1853,3459,21,novel,Bildungsroman;Victorian literature,yes,g9182
243,have,2166,King Solomon's Mines,H. Rider Haggard,,3424,,,,no,g2166
